file_name,full_path,extension,parent_folder,root_folder,size_bytes,size_mb,mime_type,created,last_modified,last_accessed,host,username,os,os_version,scan_timestamp,file_hash,is_duplicate,duplicate_of,artist,album,title,track_number,year,genre,length_seconds,bitrate,sample_rate,channels,responsible_party,subrole,notes,tailscale_echoverse_url,api_audio_pathparam,api_audio_tailscale,error
dashboard.html,D:\NeXuS\EchoVerse_Music_Catalog\templates\dashboard.html,.html,templates,templates,91502,0.09,text/html,2025-09-02T04:49:22.050000,2025-09-17T10:06:18,2025-09-17T10:06:18,Envy2-0,trcam,Windows,10.0.26100,2025-09-17T11:45:20.848538,2668fb70eb6306a85afa20f9b2185b505d7ef51e24d0f1b6f496497ce802cf09,FALSE,,,,,,,,,,,,,,,,http://localhost:8000/api/audio/D%3A%5CNeXuS%5CEchoVerse_Music_Catalog%5Ctemplates%5Cdashboard.html,,
gallery.html,D:\NeXuS\EchoVerse_Music_Catalog\templates\gallery.html,.html,templates,templates,32966,0.03,text/html,2025-09-02T10:20:06.140000,2025-09-17T11:35:14,2025-09-17T11:35:14,Envy2-0,trcam,Windows,10.0.26100,2025-09-17T11:45:20.848538,0c66611d7e11564eb58ab11b62578ecfd77e650843f81caafec0c57c44cb4352,FALSE,,,,,,,,,,,,,,,,http://localhost:8000/api/audio/D%3A%5CNeXuS%5CEchoVerse_Music_Catalog%5Ctemplates%5Cgallery.html,,
images.html,D:\NeXuS\EchoVerse_Music_Catalog\templates\images.html,.html,templates,templates,36157,0.03,text/html,2025-09-17T10:42:53.920000,2025-09-17T11:41:44,2025-09-17T11:41:44,Envy2-0,trcam,Windows,10.0.26100,2025-09-17T11:45:20.848538,5181eeadc8443d7a08a4e63e9571b9ce3f1ddc8d0879e62e42705c363ecfa051,FALSE,,,,,,,,,,,,,,,,http://localhost:8000/api/audio/D%3A%5CNeXuS%5CEchoVerse_Music_Catalog%5Ctemplates%5Cimages.html,,
