bundle,relpath,filename,ext,size_bytes,sha1,fullpath
NXCore-Control,NXCore-Control/utils/windows/winget-install.bat,winget-install.bat,.bat,113,02ac050e689bb5c0b6954ec2097067542051fe05,/mnt/data/workspace_inventory/NXCore-Control/NXCore-Control/utils/windows/winget-install.bat
aerocaller-coturn-pack (1),.env,.env,,289,eb24d27364192f63e3578c214b5db15347a0961e,/mnt/data/workspace_inventory/aerocaller-coturn-pack (1)/.env
aerocaller-coturn-pack (1),README.md,README.md,.md,1698,e45bca57fc318af889a7dccd40458ac1ddb24fb1,/mnt/data/workspace_inventory/aerocaller-coturn-pack (1)/README.md
aerocaller-coturn-pack (1),client_snippets.md,client_snippets.md,.md,1256,633e6359221b74242f5c719cbf4366673775b51e,/mnt/data/workspace_inventory/aerocaller-coturn-pack (1)/client_snippets.md
aerocaller-coturn-pack (1),docker-compose.yml,docker-compose.yml,.yml,1027,c9d6cd985c7c29b7f1e2c3c727a9cb2efafe3e62,/mnt/data/workspace_inventory/aerocaller-coturn-pack (1)/docker-compose.yml
aerocaller-coturn-pack (1),generate_turn_cred.js,generate_turn_cred.js,.js,549,d08c286e45b0a70f1c578a5a2b9deebeca3e1c85,/mnt/data/workspace_inventory/aerocaller-coturn-pack (1)/generate_turn_cred.js
aerocaller-coturn-pack (1),install_coturn_docker.sh,install_coturn_docker.sh,.sh,1581,4721647799173168754ca02ddead6eb192f64ff1,/mnt/data/workspace_inventory/aerocaller-coturn-pack (1)/install_coturn_docker.sh
aerocaller-coturn-pack (1),install_coturn_native.sh,install_coturn_native.sh,.sh,772,2349e2e6c4e4d1bbde8f8a866d672749e29cb08a,/mnt/data/workspace_inventory/aerocaller-coturn-pack (1)/install_coturn_native.sh
aerocaller-coturn-pack (1),verify_turn.sh,verify_turn.sh,.sh,523,8a6037d77c98b586afce3b45c6d7d9a49686c0e8,/mnt/data/workspace_inventory/aerocaller-coturn-pack (1)/verify_turn.sh
dev_env_bundle,.devcontainer/devcontainer.json,devcontainer.json,.json,1029,79774dba5ec1a9e80bd869bf559e4bfe77e49755,/mnt/data/workspace_inventory/dev_env_bundle/.devcontainer/devcontainer.json
dev_env_bundle,.editorconfig,.editorconfig,,139,7c77a72e362d26b9d96df6e6908e83d7d9fbd62e,/mnt/data/workspace_inventory/dev_env_bundle/.editorconfig
dev_env_bundle,.envrc.example,.envrc.example,.example,157,483daefd41515a40472264c8cf87c92869aa119a,/mnt/data/workspace_inventory/dev_env_bundle/.envrc.example
dev_env_bundle,.prettierrc,.prettierrc,,90,8c1a1f23f5f588f01b1c118f5c896e9df0dc653d,/mnt/data/workspace_inventory/dev_env_bundle/.prettierrc
dev_env_bundle,README.md,README.md,.md,914,7b65572b2f4ce2d579ce41075d4e9d9ece752bfd,/mnt/data/workspace_inventory/dev_env_bundle/README.md
