file_name,full_path,extension,parent_folder,size_bytes,size_mb,mime_type,file_hash,is_duplicate,duplicate_of
cursor-agent.service,D:\NeXuS\NXCore-Control\all.in.one.installer\control\agent\systemd\cursor-agent.service,.service,systemd,267,0,unknown,0fb60a7190aed7b266d274432fd52e4134bdb643192c3254e62410657ee1d056,TRUE,D:\NeXuS\NXCore-Control\agent\systemd\cursor-agent.service
ai-core.sh,D:\NeXuS\NXCore-Control\all.in.one.installer\control\ai\ai-core.sh,.sh,ai,287,0,application/x-sh,70c07c8448b2925a425200b7fc209a267fb538d654c86723ae69a6d9d9d87615,TRUE,D:\NeXuS\NXCore-Control\ai\ai-core.sh
pull-models.sh,D:\NeXuS\NXCore-Control\all.in.one.installer\control\ai\ollama\pull-models.sh,.sh,ollama,61,0,application/x-sh,d4a9400d0ab01c25071839fd02021caeb0a5e61671d99949bdf516969d9ff3a9,TRUE,D:\NeXuS\NXCore-Control\ai\ollama\pull-models.sh
tailscale-acl.json,D:\NeXuS\NXCore-Control\all.in.one.installer\control\configs\tailscale-acl.json,.json,configs,176,0,application/json,527f955b24c36b32de98e5909319182819ea7211310cebb078cd6bb43489ea13,TRUE,D:\NeXuS\NXCore-Control\configs\tailscale-acl.json
ufw-rules.txt,D:\NeXuS\NXCore-Control\all.in.one.installer\control\configs\ufw-rules.txt,.txt,configs,155,0,text/plain,3642d1dffaf42141552f446ab40bfc40191272f889975462173d4ccc67c7d1f0,TRUE,D:\NeXuS\NXCore-Control\configs\ufw-rules.txt
cursor.json,D:\NeXuS\NXCore-Control\all.in.one.installer\control\cursor.json,.json,control,411,0,application/json,54c3b65da9bc7290dbd61e0d3cd6304e5c7484ee9a1bbde1c54cf36faf52ef45,FALSE,
compose-filebrowser.yml,D:\NeXuS\NXCore-Control\all.in.one.installer\control\docker\compose-filebrowser.yml,.yml,docker,288,0,unknown,cd635ba0731cbcaad36f8b6bb0b3b1ae408b4d6d70854ca88c6c22d955be34cc,TRUE,D:\NeXuS\NXCore-Control\docker\compose-filebrowser.yml
compose-n8n.yml,D:\NeXuS\NXCore-Control\all.in.one.installer\control\docker\compose-n8n.yml,.yml,docker,326,0,unknown,f5413ccae72d3b491e8b8a2fcab93bb08e139cde0177a39935bc6218ab09874e,TRUE,D:\NeXuS\NXCore-Control\docker\compose-n8n.yml
hosts.ini,D:\NeXuS\NXCore-Control\all.in.one.installer\control\inventory\hosts.ini,.ini,inventory,42,0,unknown,8982493be855e2a8f33e380972a9e78e3c81fb952626128c5d13d2a7e3945999,TRUE,D:\NeXuS\NXCore-Control\inventory\hosts.ini
README.md,D:\NeXuS\NXCore-Control\all.in.one.installer\control\README.md,.md,control,1240,0,text/markdown,eb990651a5eaa0753663ff7089b2b0a5b37bfd106e8f123d914ab1c4eb2a32d1,FALSE,
backup-nxcore.ps1,D:\NeXuS\NXCore-Control\all.in.one.installer\control\scripts\ps\backup-nxcore.ps1,.ps1,ps,480,0,unknown,1564fb88cc2c6e615557ee8570f93b496f9a536d951e00ec9a683796ee8afe3e,TRUE,D:\NeXuS\NXCore-Control\scripts\ps\backup-nxcore.ps1
deploy-containers.ps1,D:\NeXuS\NXCore-Control\all.in.one.installer\control\scripts\ps\deploy-containers.ps1,.ps1,ps,711,0,unknown,e908e194ba2212adac9770945d94b51c3fa5d95e714c017b966db62716368693,TRUE,D:\NeXuS\NXCore-Control\scripts\ps\deploy-containers.original.txt
sync-config.ps1,D:\NeXuS\NXCore-Control\all.in.one.installer\control\scripts\ps\sync-config.ps1,.ps1,ps,584,0,unknown,f4155500cfbc2eb7a9d4008dc6dcea6f3e8d0ee47d5a17fb36acc71ab09f7003,FALSE,
